순위,광역시/도,시/군/구,관광지명,중분류 카테고리,소분류 카테고리,검색건수
1,경기도,포천시,산정호수,자연관광,자연경관(하천/해양),23711
2,경기도,포천시,한탄강Y자출렁다리,기타관광,기타관광,22999
3,경기도,포천시,국립수목원,문화관광,테마공원,16762
4,경기도,포천시,포천한탄강가든페스타,문화관광,기타문화관광지,15082
5,경기도,포천시,포천아트밸리,문화관광,공연시설,14788
6,경기도,포천시,허브아일랜드,체험관광,농/산/어촌체험,13293
7,경기도,포천시,포천힐마루CC,레저스포츠,육상레저스포츠,13131
8,경기도,포천시,베어크리크GC,레저스포츠,육상레저스포츠,11791
9,경기도,포천시,포천힐스CC,레저스포츠,육상레저스포츠,11078
10,경기도,포천시,필로스GC,레저스포츠,육상레저스포츠,10756
11,경기도,포천시,비둘기낭폭포,자연관광,자연경관(산),10343
12,경기도,포천시,몽베르CC,레저스포츠,육상레저스포츠,10093
13,경기도,포천시,푸른솔GC포천,레저스포츠,육상레저스포츠,10083
14,경기도,포천시,라싸GC,레저스포츠,육상레저스포츠,9780
15,경기도,포천시,포레스트힐CC,레저스포츠,육상레저스포츠,9378
16,경기도,포천시,한탄강생태경관단지,기타관광,기타관광,9333
17,경기도,포천시,포천아도니스CC,레저스포츠,육상레저스포츠,8802
18,경기도,포천시,고모저수지,자연관광,자연경관(하천/해양),6900
19,경기도,포천시,일동레이크GC,레저스포츠,육상레저스포츠,5520
20,경기도,포천시,샴발라CC,레저스포츠,육상레저스포츠,5427
21,경기도,포천시,일동시외버스터미널,기타관광,교통시설,5387
22,경기도,포천시,참밸리컨트리클럽,레저스포츠,육상레저스포츠,5238
23,경기도,포천시,신북온천,체험관광,웰니스관광,5023
24,경기도,포천시,포천한탄강하늘다리,기타관광,기타관광,3604
25,경기도,포천시,제일유황온천,체험관광,웰니스관광,3497
26,경기도,포천시,포천한탄강세계드론제전,문화관광,기타문화관광지,3139
27,경기도,포천시,서운동산,문화관광,복합관광시설,3013
28,경기도,포천시,마이애니멀스토리in평강랜드,문화관광,테마공원,2810
29,경기도,포천시,백운계곡,자연관광,자연경관(산),2335
30,경기도,포천시,CGV포천,문화관광,공연시설,2144
