,순위,광역시/도,시/군/구,관광지명,중분류 카테고리,소분류 카테고리,검색건수,지번주소,lat,lon,
0,1,경기도,포천시,산정호수,자연관광,자연경관(하천/해양),23711,경기 포천시 영북면 산정리,38.08567618,127.3548844,
1,2,경기도,포천시,한탄강Y자출렁다리,기타관광,기타관광,22999,경기 포천시 영북면 대화산리 256,38.0641729,127.2286138,
2,3,경기도,포천시,국립수목원,문화관광,테마공원,16762,경기 포천시 소흘읍 직동리 54-2,37.7598323,127.1690265,
3,4,경기도,포천시,포천한탄강가든페스타,문화관광,기타문화관광지,15082,경기 포천시 관인면 중리 526-1,38.08451908,127.207789,
4,5,경기도,포천시,포천아트밸리,문화관광,공연시설,14788,경기 포천시 신북면 기지리 282,37.92358449,127.2366879,
5,6,경기도,포천시,허브아일랜드,체험관광,농/산/어촌체험,13293,경기 포천시 신북면 삼정리 517 2,37.96597939,127.1309172,
6,7,경기도,포천시,포천힐마루CC,레저스포츠,육상레저스포츠,13131,경기 포천시 영중면 거사리 105,37.97531185,127.2427115,
7,8,경기도,포천시,베어크리크GC,레저스포츠,육상레저스포츠,11791,경기 포천시 화현면 지현리 2 1,37.91310203,127.2909564,
8,9,경기도,포천시,포천힐스CC,레저스포츠,육상레저스포츠,11078,경기 포천시 군내면 상성북리 34-1,37.88563576,127.2330392,
9,10,경기도,포천시,필로스GC,레저스포츠,육상레저스포츠,10756,경기 포천시 일동면 기산리 142 1,37.95588068,127.3022902,
10,11,경기도,포천시,비둘기낭폭포,자연관광,자연경관(산),10343,경기 포천시 영북면 대화산리 415-2,38.0797767,127.2169215,
11,12,경기도,포천시,몽베르CC,레저스포츠,육상레저스포츠,10093,경기 포천시 영북면 산정리 558 1,38.07429109,127.3082182,
12,13,경기도,포천시,푸른솔GC포천,레저스포츠,육상레저스포츠,10083,경기 포천시 가산면 우금리 88-5,37.84034802,127.2354975,
13,14,경기도,포천시,라싸GC,레저스포츠,육상레저스포츠,9780,경기 포천시 이동면 연곡리 산142-16,37.9922818,127.3826878,
14,15,경기도,포천시,포레스트힐CC,레저스포츠,육상레저스포츠,9378,경기 포천시 화현면 명덕리 192-1,37.87264223,127.2725152,
15,16,경기도,포천시,한탄강생태경관단지,기타관광,기타관광,9333,경기도 포천시 관인면 중리 540-1,38.08302132,127.2085844,
16,17,경기도,포천시,포천아도니스CC,레저스포츠,육상레저스포츠,8802,경기도 포천시 신북면 고일리 59,37.95736648,127.1903553,
17,18,경기도,포천시,고모저수지,자연관광,자연경관(하천/해양),6900,경기 포천시 소홀읍 고모리,37.7986204,127.1699717,
18,19,경기도,포천시,일동레이크GC,레저스포츠,육상레저스포츠,5520,경기 포천시 일동면 유동리 12 7,37.93382424,127.3161558,
19,20,경기도,포천시,샴발라CC,레저스포츠,육상레저스포츠,5427,경기 포천시 군내면 직두리 780,37.86672677,127.2559468,
